Isolate_Id	PB2 Segment_Id	PB1 Segment_Id	PA Segment_Id	HA Segment_Id	Location	Collection_Date	Host_Age	Host_Age_Unit
EPI_ISL_255081				EPI953903 | A/Ontario/014/2017	North America / Canada / Ontario	2017-01-06		
EPI_ISL_255074				EPI953896 | A/Ontario/027/2017	North America / Canada / Ontario	2017-01-11		
EPI_ISL_255073				EPI953895 | A/Ontario/004/2017	North America / Canada / Ontario	2017-01-03		
EPI_ISL_255069				EPI953891 | A/Ontario/018/2017	North America / Canada / Ontario	2017-01-10		
EPI_ISL_255064				EPI953886 | A/Ontario/010/2017	North America / Canada / Ontario	2017-01-05		
EPI_ISL_255063				EPI953885 | A/Ontario/023/2017	North America / Canada / Ontario	2017-01-12		
EPI_ISL_255047				EPI953863 | A/Quebec/002/2017	North America / Canada / Quebec	2017-01-03		
EPI_ISL_255028				EPI953842 | A/British Columbia/037/2017	North America / Canada / British Columbia	2017-01-11		
EPI_ISL_255027				EPI953841 | A/British Columbia/029/2017	North America / Canada / British Columbia	2017-01-10		
EPI_ISL_255023				EPI953837 | A/British Columbia/012/2017	North America / Canada / British Columbia	2017-01-07		
EPI_ISL_255022				EPI953836 | A/British Columbia/007/2017	North America / Canada / British Columbia	2017-01-04		
EPI_ISL_255019				EPI953833 | A/British Columbia/031/2017	North America / Canada / British Columbia	2017-01-10		
EPI_ISL_255015				EPI953829 | A/British Columbia/017/2017	North America / Canada / British Columbia	2017-01-06		
EPI_ISL_255013				EPI953827 | A/British Columbia/003/2017	North America / Canada / British Columbia	2017-01-03		
EPI_ISL_255011				EPI953826 | A/British Columbia/035/2017	North America / Canada / British Columbia	2017-01-12		
EPI_ISL_255008				EPI953823 | A/British Columbia/043/2017	North America / Canada / British Columbia	2017-01-12		
EPI_ISL_255007				EPI953822 | A/British Columbia/025/2017	North America / Canada / British Columbia	2017-01-09		
EPI_ISL_255004				EPI953819 | A/British Columbia/021/2017	North America / Canada / British Columbia	2017-01-05		
EPI_ISL_255002				EPI953817 | A/British Columbia/011/2017	North America / Canada / British Columbia	2017-01-03		
EPI_ISL_254999				EPI953814 | A/British Columbia/010/2017	North America / Canada / British Columbia	2017-01-05		
EPI_ISL_254994				EPI953809 | A/British Columbia/041/2017	North America / Canada / British Columbia	2017-01-11		
EPI_ISL_254993				EPI953808 | A/British Columbia/036/2017	North America / Canada / British Columbia	2017-01-11		
EPI_ISL_254989				EPI953804 | A/British Columbia/001/2017	North America / Canada / British Columbia	2017-01-03		
EPI_ISL_254987				EPI953802 | A/British Columbia/014/2017	North America / Canada / British Columbia	2017-01-07		
EPI_ISL_254958				EPI953773 | A/Alberta/010/2017	North America / Canada / Alberta	2017-01-12		
EPI_ISL_254951				EPI953766 | A/Alberta/009/2017	North America / Canada / Alberta	2017-01-11		
